Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ADP,ECR vs. ADP,PS,Baseline
Blake Bell,TE,DAL/10,-4.98,0.55,84.0,9.0,,,,,0.0,
Tyler Conklin,TE,MIN/7,-5.0,0.73,85.0,9.0,,,,,0.0,
Chris Manhertz,TE,CAR/13,-5.09,0.79,87.0,9.0,,,,,0.0,
Durham Smythe,TE,MIA/11,-5.09,0.48,88.0,9.0,,,,,0.0,
Khari Lee,TE,ATL/10,-5.1,0.65,89.0,9.0,,,,,0.0,
Luke Willson,TE,SEA/6,-5.11,0.86,91.0,9.0,,,,,0.0,
Jesper Horsted,TE,CHI/11,-5.22,0.72,93.0,9.0,,,,,0.0,
Ryan Izzo,TE,NE/6,-5.3,0.27,95.0,9.0,,,,,0.0,
Jason Croom,TE,BUF/11,-5.4,0.2,96.0,9.0,,,,,0.0,
Colby Parkinson,TE,SEA/6,-5.42,0.46,97.0,9.0,,,,,0.0,
JP Holtz,TE,CHI/11,-5.51,0.17,100.0,9.0,,,,,0.0,
Ross Dwelley,TE,SF/11,-5.58,0.68,102.0,9.0,,,,,0.0,
Derek Carrier,TE,LV/6,-5.59,0.08,103.0,9.0,,,,,0.0,
Brycen Hopkins,TE,LAR/9,-5.68,0.75,105.0,10.0,,,,,0.0,
Michael Thomas,WR,NO/6,8.72,1.03,1.0,1.0,1|07,7.2,4.0,-0.25,0.95,
Davante Adams,WR,GB/5,7.17,1.02,2.0,1.0,1|10,10.4,8.0,0.0,0.9,
Julio Jones,WR,ATL/10,6.8,0.77,3.0,2.0,2|01,13.2,11.0,0.0,0.86,
Tyreek Hill,WR,KC/10,6.25,1.0,4.0,2.0,2|02,14.2,10.0,-0.16666666666666666,0.82,
DeAndre Hopkins,WR,ARI/8,5.62,0.89,5.0,2.0,2|07,19.1,13.0,-0.5,0.79,
