name,ppg
Mike Glennon (JAC),1.4
Damion Willis (FA),1.3
Russell Shepard (FA),1.3
Troy Fumagalli (DEN),1.3
Ty Montgomery (NO),1.3
Kenjon Barner (FA),1.3
Robert Foster (BUF),1.2
Travis Benjamin (SF),1.2
Cody Hollister (TEN),1.2
Dan Arnold (ARI),1.2
Ameer Abdullah (MIN),1.2
Marcell Ateman (LV),1.1
Seth DeValve (FA),1.1
Tommy Sweeney (BUF),1.1
Dan Vitale (NE),1.1
Paul Perkins (FA),1.1
Ventell Bryant (DAL),1
Chris Hogan (NYJ),1
Jesse James (DET),1
D'Ernest Johnson (CLE),1
Alec Ingold (LV),1
Mike Davis (CAR),1
Braxton Berrios (NYJ),0.9
Jason Moore (LAC),0.9
Lee Smith (BUF),0.9
Virgil Green (LAC),0.9
Tyler Kroft (BUF),0.9
Trent Sherfield (ARI),0.8
Deonte Harris (NO),0.8
Daniel Brown (NYJ),0.8
Lance Kendricks (FA),0.8
Josh Oliver (JAC),0.8
Troymaine Pope (FA),0.8
Zach Line (FA),0.8
Jay Ajayi (FA),0.8
Ryan Switzer (PIT),0.7
Geremy Davis (DET),0.7
Deon Yelder (KC),0.7
Alex Armah (CAR),0.7
Andre Patton (ARI),0.6
Marqise Lee (NE),0.6
Mo Alie-Cox (IND),0.6
Luke Stocker (ATL),0.6
Drew Sample (CIN),0.6
Chris Herndon IV (NYJ),0.6
Patrick DiMarco (BUF),0.6
Josh Adams (NYJ),0.6
Damien Harris (NE),0.6
Khadarel Hodge (CLE),0.5
Diontae Spencer (DEN),0.5
Donte Moncrief (LAR),0.5
Bobo Wilson (FA),0.5
Robert Davis (FA),0.5
Tyler Conklin (MIN),0.5
Andrew Beck (DEN),0.5
Scott Simonson (FA),0.5
Brandon Wilson (CIN),0.5
Elijhaa Penny (NYG),0.5
Zach Zenner (FA),0.5
Roosevelt Nix (IND),0.5
DeAndre Carter (HOU),0.4
Cody Core (NYG),0.4
Chris Moore (BAL),0.4
Stanley Morgan Jr. (CIN),0.4
Josh Bellamy (NYJ),0.4
Darius Jennings (LAC),0.4
Isaiah Ford (MIA),0.4
Dwayne Harris (FA),0.4
Ian Thomas (CAR),0.4
Durham Smythe (MIA),0.4
Pharaoh Brown (CLE),0.4
Sean Culkin (FA),0.4
Derek Watt (PIT),0.4
Dwayne Washington (NO),0.4
Nick Bawden (DET),0.4
Alfred Morris (FA),0.4
Johnny Holton (FA),0.3
Fred Brown (DEN),0.3
Andre Roberts (BUF),0.3
Gunner Olszewski (NE),0.3
J.P. Holtz (CHI),0.3
Hale Hentges (WAS),0.3
Tanner Hudson (TB),0.3
Clive Walford (FA),0.3
Xavier Grimble (IND),0.3
Anthony Sherman (KC),0.3
T.J. Logan (TB),0.3
Jakob Johnson (NE),0.3
Josh McCown (FA),0.3
Justin Watson (TB),0.2
Ashton Dulin (IND),0.2
De'Anthony Thomas (BAL),0.2
Austin Carr (NO),0.2
DeAndrew White (BAL),0.2
MyCole Pruitt (TEN),0.2
Blake Bell (DAL),0.2
Trevon Wesco (NYJ),0.2
Levine Toilolo (NYG),0.2
Antony Auclair (TB),0.2
Ben Koyack (FA),0.2
Travis Homer (SEA),0.2
Mike Boone (MIN),0.2
Devontae Booker (LV),0.2
John Kelly (LAR),0.2
Tony Brooks-James (MIN),0.2
James Develin (FA),0.2
Dalyn Dawkins (FA),0.2
Mike Thomas (CIN),0.1
Johnny Mundt (LAR),0.1
Dalton Schultz (DAL),0.1
Darrell Daniels (ARI),0.1
Eric Tomlinson (NYG),0.1
Jordan Scarlett (FA),0.1
Keith Smith (ATL),0.1
Javorius Allen (FA),0.1
Dexter Williams (GB),0.1
Trevor Siemian (TEN),0.1
